Tax parcel Number,Street Number,Street Name,Present Use,Historic Function,Historic Use,Date of const.,Dates of alteration,Style,No. of Stories,Construction method,Exterior material: historic 1,Exterior material: historic 2,Exterior material: present,Roof Type,Roof Material,Founda- tion Material,Additions,Porch location 1,Porch condition,Window condition,Overall integrity,Contri- buting,Endan- gered?,Distinctive features,Notes,Outbldg 1 type,Outbldg 1 date,Outbldg 1 construction method,Outbldg 1 distinctive features,Outbldg 2 type,Outbldg 2 date,Landscape features
78.15-1-31,240,Old Kingston Rd,Single Family Residence,Domestic,Single Dwelling,1955,1970  2003,Ranch,1,wood frame,compos- ition clapbd,,vinyl clapbd,gable,asphalt,concrete block,rear shed roof ext; gabled front add. w/breezeway & 1-stall garage,,N/A,mixed,altered,No,No,brick chimney,dormers on 2003 addition,,,,,,,
78.15-1-32,230,Old Kingston Rd,Single Family Residence,Domestic,Single Dwelling,1955,,Split Level,1.5,wood frame,compos- ition clapbd,board & batten,,front gable w/cr gb,asphalt,concrete block,,entrance,intact,intact,intact,Yes,No,pic window; tuck-under garage; window blinds,,,,,,,,
78.15-1-33,5,Shivertown Rd,Single Family Residence,Domestic,Single Dwelling,1955,,Split Level,1.5,wood frame,compos- ition clapbd,brick & wood shingles,,gable,asphalt,concrete block,,entrance,intact,intact,intact,Yes,No,pic window; tuck-under garage; gabled front porch w/posts & extended gable canopy (could have been added),,,,,,,,
78.15-1-34,263,Rte 32 North,Single Family Residence,Domestic,Single Dwelling,1951,,Undetermined,1,wood frame,wood clapbd,,,cross-gable,asphalt,concrete block,,,N/A,intact,intact,Yes,No,projecting central gabled bay,not viewable from the street,garage,c1951,wood frame,2-stall; wood clapbd,,,
78.15-1-38,257,Rte 32 North,Single Family Residence,Domestic,Single Dwelling,1945,,Colonial Revival,1.5,wood frame,wood clapbd,,Perma-stone/vinyl clapbd/T-1-11,gable,asphalt,concrete block,rear lean-to; side deck; 2nd story w/2 dormers,,N/A,mixed,altered,No,No,3 bay; center entrance,"all orig. architectural details, character & massing/scale lost due to addtions & renovation",,,,,,,
78.15-1-41,253,Rte 32 North,Single Family Residence,Domestic,Single Dwelling,1959,,Cape,1,wood frame,wood clapbd,,,gable,asphalt,concrete block,,,N/A,,intact,Yes,No,3 bay; pic/bow window; brick endwall chimney; brickedged concrete stoop w/wrought iron railings,,garage,c1959,wood frame,front gable; comp clapbd; chimney; currently used as a blacksmith shop,,,
78.15-1-42,7,Shivertown Rd,Single Family Residence,Domestic,Single Dwelling,1959,,Split Level,1.5,wood frame,wood clapbd,,vinyl clapbd,front gable w/cr gb,asphalt,concrete block,,entrance,intact,intact,intact,Yes,No,pic/bay window w/brackets below; endwall brick chimney; porch is roof overhang,,,,,,,,
78.15-1-43,251,Rte 32 North,Commercial,Comm/ Trade,Specialty Store,1960,1980,Undetermined,1,concrete block,concrete block,vertical metal,,shed,ssm,concrete block,side ell,,N/A,intact,intact,Yes,No,4 garage bays,Hans Auto Service,,,,,,,
78.15-1-6,307,Old Kingston Rd,Single Family Residence,Domestic,Single Dwelling,1952,,Split Level,2,wood frame,compos- ition clapbd,,vinyl clapbd,gable,asphalt,concrete block,2nd story over 2-level portion of house w/tuck-under garage,,N/A,intact,altered,Yes,No,front bow window; window blinds; tuck-under garage,,,,,,,,
78.15-1-7,340,Old Kingston Rd,Single Family Residence,Domestic,Single Dwelling,1930,,Craftsman Cottage,1,wood frame,wood clapbd,wood shingle,metal clapbd,front gable,asphalt,concrete block,,full front,enc/alt,intact,intact,Yes,No,brick chimney; tuck-under garage; vertical muntins in 3-over-1 windows,double fronted lot (sandwiched betw. Old Kingston Rd & Rte 32 N),,,,,,,
78.15-1-8,336,Old Kingston Rd,Single Family Residence,Domestic,Single Dwelling,1900,1963,Undetermined,1.5,wood frame,wood clapbd,,vinyl novelty siding,gable,asphalt,stone,large 2-story wing w/new house entry; porch,entrance,intact,altered,altered,No,No,simple rectangular house w/stone foundation; 1-story side ell on S (sagging roof),"Appears to be completely renovated house w/2nd story addition including a tuck-under garage, entrance porch, & pic window",,,,,,,
78.15-1-9,334,Old Kingston Rd,Single Family Residence,Domestic,Single Dwelling,1930,1959,Cape,1,wood frame,brick veneer,,painted,gable,asphalt,concrete block,1-stall garage wing on S side,,N/A,intact,intact,Yes,No,5 bay; bow window; window blinds,,,,,,,,
78.16-1-1,344,Rte 32 North,Single Family Residence,Domestic,Single Dwelling,1960,,Ranch,1,wood frame,brick veneer,stone,,gable,asphalt,concrete block,rear 1-story ell,entrance,intact,intact,intact,Yes,No,,,,,,,,,
78.16-1-2,346,Rte 32 North,Single Family Residence,Domestic,Single Dwelling,1946,1970,Cape,1,wood frame,brick veneer,wood clapbd,,gable,asphalt,concrete block,1-story side ell w/flat (or shed?) roof; carport,entrance,intact,intact,intact,Yes,No,group of 3 sash windows comprise pic window; asym. f.f.; entrance slightly off center; entrance porch is a shed roof canopy extended over the entrance,,shed,c1960,wood frame,B&B siding; gable roof w/SSM roofing; c1960,,,
78.16-1-26,332,Rte 32 North,Single Family Residence,Domestic,Single Dwelling,1930,1945,Undetermined,1.5,wood frame,stucco,wood shingles,,cross-gable,asphalt,concrete block,1.5-story side ell; large shed roof dormer on orig. portion of house,,N/A,intact,altered,Yes,No,appears to have been a cross-gable sq. house w/end chimney that was added onto; rear ell; rear ell,,,,,,,,front veranda/patio
78.16-1-3,348,Rte 32 North,Single Family Residence,Domestic,Single Dwelling,1850,1920,Undetermined,1.5,wood frame,wood clapbd,wood novelty,asphalt shingles,gable,asphalt,stone,1-story rear lean-to,,N/A,altered,altered,Yes,Yes,4 bay; 16' x 20' footprint,Abandoned ruin; assessor lists property as vacant,,,,,,,
78.16-1-5,60,Horsenden Rd,Multi-Family Residence,Domestic,Single Dwelling,1800,1880  1980,Federal,2,wood frame,wood clapbd,,metal clapbd,gable,asphalt,stone,,full front,altered,intact,altered,Yes,No,5 bay; center passage; stone porch foundation; projecting 1-story projecting side ell@NW side; entrance door surround w/side lights; 1-story side ell off SE w/rear wing units; window shutters; rear ell; 2 large endwall chimneys; entrance door,NOTABLE,barn,c1900,wood frame,2-story; vertical wood siding,shed,c1995,
78.16-1-9,320,Rte 32 North,Single Family Residence,Domestic,Single Dwelling,1945,1990,Cape,1,wood frame,brick veneer,,,gable,asphalt,concrete block,large front deck w/lattice below,full front,altered,intact,intact,Yes,No,5 bay asym. f.f.; exposed basement; projecting front vestibule with gable roof & offset door; front door surround w/pediment & fluted pilasters; endwall chimney,,,,,,,,
78.16-2-1,318,Rte 32 North,Single Family Residence,Domestic,Single Dwelling,1955,,Ranch,1,wood frame,compos- ition clapbd,,vinyl clapbd,gable,asphalt,concrete block,,entrance,intact,intact,altered,Yes,No,pic window; massive brick chimney; projecting front gabled bay; attached 1-stall garage; entrance porch is roof overhang,,garage,,wood frame,,,,
78.16-2-13,2,Mountain View Pl,Single Family Residence,Domestic,Single Dwelling,1955,,Ranch,1,wood frame,wood clapbd,,,gable,asphalt,concrete block,,,N/A,intact,intact,Yes,Yes,2-part pic window; rear ell w/1-stall garage,endangered due to poor maintenance,,,,,,,
78.16-2-14,7,Rocky Hill Rd,Single Family Residence,Domestic,Single Dwelling,1957,1990  2000,Split Level,2,wood frame,compos- ition clapbd,,metal clapbd,cross-gable,asphalt,concrete block,side ell; 2nd story,,N/A,mixed,altered,No,No,,Looks like a 1990 bldg w/the multiple additions,,,,,,,
78.16-2-15,15,Rocky Hill Rd,Single Family Residence,Domestic,Single Dwelling,1955,,Ranch,1,wood frame,brick veneer,,,gable,asphalt,concrete block,,full front,intact,intact,intact,Yes,No,3-part pic window; porch is shallow roof overhang; side tuck-under garage; massive brick endwall chimney,,shed,,wood frame,,gazebo,c1990,
78.16-2-16,1,Pine Tree Dr,Single Family Residence,Domestic,Single Dwelling,1955,,Ranch,1,wood frame,brick veneer,,,gable,asphalt,concrete block,2nd garage stall off side w/orig. garage,,N/A,mixed,intact,Yes,No,attached 1-stall garage,,,,,,,,
78.16-2-17,3,Pine Tree Dr,Single Family Residence,Domestic,Single Dwelling,1955,1980,Split Level,1.5,wood frame,brick veneer,,vinyl clapbd (partial),cross-gable,asphalt,concrete block,2nd story or all new side ell; bay window,entrance,intact,replaced,altered,No,No,side tuck-under garage; small chimney,,shed,c1980,wood frame,T-1-11 siding,,,
78.16-2-18,5,Pine Tree Dr,Single Family Residence,Domestic,Single Dwelling,1955,,Ranch,1,wood frame,brick veneer,,,gable,asphalt,concrete block,,full front,intact,intact,intact,Yes,No,5 bay; center entrance; front porch is shallow roof overhang;  red colored mortar; attached double garage w/paneled door; small brick shimney; louvered window blinds,,garage,c1980,wood frame,"2-stalls, 1 w/in front gable structure; 2nd w/in a lean-to extension",shed - gardening,c1990,
78.16-2-2,316,Rte 32 North,Single Family Residence,Domestic,Single Dwelling,1955,1975,Ranch,1,wood frame,brick veneer,comp clapbd,metal clapbd (partial),gable,asphalt,concrete block,breezeway filled in (brick veneer),full front,intact,intact,intact,Yes,No,3-part pic window; 1-stall attached garage,,,,,,,,
78.16-2-3,314,Rte 32 North,Single Family Residence,Domestic,Single Dwelling,1952,1975,Ranch,1,wood frame,brick veneer,comp clapbd,metal clapbd (partial),gable,asphalt,concrete block,1-story side ell (set back) w/1-stall garage & living area betw. house & garage; she roof & metal clapbd siding,full front,intact,intact,intact,Yes,No,3-part pic window; massive brick chimney; porch is a shallow roof overhang,,,,,,,,
78.16-2-35,31,Rocky Hill Rd,Single Family Residence,Domestic,Single Dwelling,1956,1980,Ranch,1,wood frame,compos- ition clapbd,,T-111,hipped,asphalt,concrete block,"front enclosed porch; bay windows; corner ""turret""; exterior stair to grade on rear façade",,N/A,altered,altered,Yes,No,walk-out; rear tuck-under garage now converted to living space,,,,,,,,
78.16-2-4,312,Rte 32 North,Single Family Residence,Domestic,Single Dwelling,1955,1965  1980,Ranch,1,wood frame,brick veneer,board & batten,,gable,asphalt,concrete block,,,N/A,mixed,altered,Yes,No,3-part pic window; massive brick chimney; built-in brick planter; orig. attached garage on side,,shed,c1970,wood frame,prefab,,,
78.16-2-41,6,Pine Tree Dr,Single Family Residence,Domestic,Single Dwelling,1960,,Ranch,1,wood frame,brick veneer,board & batten,,gable,asphalt,concrete block,,full front,intact,intact,intact,Yes,No,3-part pic window; carport,,,,,,,,
78.16-2-41,9,Pine Tree Dr,Single Family Residence,Domestic,Single Dwelling,1955,,Ranch,1,wood frame,wood shingle,brick,,gable,asphalt,concrete block,,1/2 front,intact,intact,intact,Yes,No,pic window w/large asym. panes; massive brck rear wall chimney; front porch is small extension of roof,NOTABLE example of type,,,,,,,
78.16-2-42,4,Pine Tree Dr,Single Family Residence,Domestic,Single Dwelling,1952,,Ranch - Modern,1,wood frame,brick veneer,asbestos shingles,,cross-gable,asphalt,concrete block,screen porch lean-to (south wing roof extended),entrance,intact,intact,intact,Yes,No,"""U"" shaped footprint; full wall pic window; gable end windows; attached 2-stall garage in projecting bay; large brick chimney in corner; porch is roof overhang between wings w/posts",,,,,,,,
78.16-2-43,17,Rocky Hill Rd,Single Family Residence,Domestic,Single Dwelling,1965,,Raised Ranch,1.5,wood frame,brick veneer,comp clapbd,metal clapbd (partial),gable,asphalt,concrete block,,full front,intact,intact,intact,Yes,No,double attached garage,,,,,,,,
78.16-2-48,35,Rocky Hill Rd,Single Family Residence,Domestic,Single Dwelling,1956,1970,Cape,1,wood frame,wood shingles,brick,,gable,asphalt,concrete block,,,,mixed,altered,Yes,No,3-part pic window; front tuck-under garage; large brick corner chimney; orig. front door w/side light; shed roof dormer,Front door has been abandoned,,,,,,,
78.16-2-5,308,Rte 32 North,Single Family Residence,Domestic,Single Dwelling,1957,,Ranch,1,wood frame,brick veneer,,,gable,asphalt,concrete block,,full front,intact,intact,intact,Yes,No,3-part pic window; front tuck-under garage (partially exposed basement); small brick chimney,,,,,,,,landscape ties retaining wall & concrete block retaining wall w/brick veneer on either side of driveway into garage
78.16-2-6,7,Mountain View Pl,Single Family Residence,Domestic,Single Dwelling,1940,,Colonial Revival,1.5,wood frame,wood clapbd,,metal clapbd,gable,asphalt,concrete block,enlarged front dormer,full front,enclosed,intact,altered,Yes,No,3 bay; offset entrance; rear porch intact; rear dormer orig.,Sliding Glass doors replaced orig. front door,garage,c1940,concrete,3-stall; gable roof; 2 swing wood doors replace w/o.h.d.,,,
78.16-2-7,9,Mountain View Pl,Single Family Residence,Domestic,Single Dwelling,1962,,Ranch,1,wood frame,brick veneer,comp clapbd,metal clapbd (partial),gable,asphalt,concrete block,,full front,intact,intact,altered,Yes,No,3-part pic window on end wall; large brick chimney; louvered window blinds (Col. Rev. treatement),,garage,c1970,wood frame,metal clapbd; shed roof lean-to,,,
78.16-3-1,304,Rte 32 North,Day Care Center,Domestic,Multiple Dwelling,1960,c1980,Ranch,1,wood frame,brick veneer,comp clapbd,metal clapbd (partial),cross-gable,asphalt,concrete block,,entrance,intact,altered,altered,Yes,No,raised basement w/ front walkout configuration; porch is roof overhang,,,,,,,,
78.16-3-12,22,Rocky Hill Rd,Single Family Residence,Domestic,Single Dwelling,1961,,Raised Ranch,1.5,wood frame,compos- ition clapbd,,vinyl clapbd,gable,asphalt,concrete block,,entrance,intact,intact,intact,Yes,No,bow pic window; 2 brick chimneys; side tuck-under garage; porch is roof overhang,,,,,,,,
78.16-3-15,36,Rocky Hill Rd,Single Family Residence,Domestic,Single Dwelling,1960,1990,Ranch,1,wood frame,compos- ition clapbd,,metal clapbd,gable,asphalt,concrete block,entrance deck,full front,intact,mixed,altered,Yes,No,3-part pic window; side tuck-under garage; f.f. porch is shallow roof overhang,,,,,,,,
78.16-3-16,40,Rocky Hill Rd,Single Family Residence,Domestic,Single Dwelling,1963,,Split Level,1.5,wood frame,compos- ition clapbd,,,gable,asphalt,concrete block,,1/2 front,intact,intact,intact,Yes,No,bow pic window; large endwall chimney; side tuck-under garage; louvered window blinds,,,,,,,,
78.16-3-19,292,Rte 32 North,Single Family Residence,Domestic,Single Dwelling,1964,1980,Ranch,1,wood frame,compos- ition clapbd,,metal clapbd,gable,asphalt,concrete block,side/rear ell w/attached garage; hipped roof,,N/A,intact,intact,Yes,No,,On same lot as 290 Rte 32 N.,,,,,,,
78.16-3-19,290,Rte 32 North,Single Family Residence,Domestic,Single Dwelling,1964,1990,Ranch,1,wood frame,brick veneer,comp clapbd,vinyl clapbd (partial),cross-gable,asphalt,concrete block,H.C. ramp to front door,entrance,intact,replaced,intact,Yes,No,3-part pic window; side tuck-under garage w/2 stalls; front porch is roof overhang w/1 wood support post,On same lot as 292 Rte 32 N,,,,,,,
78.16-3-2,300,Rte 32 North,Single Family Residence,Domestic,Single Dwelling,1960,,Ranch,1,wood frame,brick veneer,,,gable,asphalt,concrete block,,full front,intact,replaced,intact,Yes,No,3-part pic window; massive brick chimney; carport supported by steel posts set on brick pier/planter & w/storage area at rear,,,,,,,,
78.16-3-20,272,Rte 32 North,Single Family Residence,Domestic,Single Dwelling,1934,,Cottage,1,wood frame,asbestos shingles,,,front gable,ssm,poured concrete,,side,altered,intact,intact,Yes,No,group of 5 sash window across f.f.; very small; projecting bay w/gable roof for vestibule; side porch w/gabled canopy & wood posts has been repaired,,garage,c1934,wood frame,wood clapb. siding; raised conc. bl. foundation; appears to bave been a small garage adapted for a dwelling unit,,,"view of ""Gunks"""
78.16-3-21,270,Rte 32 North,Single Family Residence,Domestic,Single Dwelling,1938,,Cape,1,wood frame,brick veneer,asbestos shingles,,gable,asphalt,concrete block,,,N/A,replaced,intact,Yes,No,4 bay; asym. f.f.; very plain; projecting front gabled vestibule w/side entrance,,cabin,c1938,wood frame,orig. wood novelty siding but partially sided w/asbestos shingles; shed roof,,,
